frame,ssim,mse,text,trans
1,,,,
2,99.51,1.1561328512259344e-05,,
3,99.14,1.5896826704356598e-05,,
4,98.98,1.8787158832421433e-05,,
5,98.29,2.745815521661594e-05,,
6,99.56,1.445166064032418e-05,,
7,98.75,2.890332128064836e-05,,
8,98.85,3.1793653408713196e-05,,
9,99.34,1.7341992768389014e-05,,
10,97.67,4.480014798500496e-05,,
11,99.39,2.6012989152583522e-05,,
12,99.71,1.445166064032418e-05,,
13,98.77,2.6012989152583522e-05,,
14,99.63,1.3006494576291761e-05,,
15,99.81,1.445166064032418e-05,,
16,99.49,2.0232324896453855e-05,,
17,99.77,1.7341992768389014e-05,,
18,99.59,1.5896826704356598e-05,,
19,99.89,5.780664256129672e-06,,
20,99.99,1.445166064032418e-06,,
21,99.78,1.445166064032418e-05,,
22,99.77,1.3006494576291761e-05,,
23,99.87,1.0116162448226928e-05,,
24,99.97,1.445166064032418e-06,,
25,99.62,1.445166064032418e-05,,
26,99.7,1.445166064032418e-05,,
27,99.75,1.445166064032418e-05,,
28,99.8,1.445166064032418e-05,,
29,99.99,0.0,,
30,99.79,1.8787158832421433e-05,,
31,97.7,4.480014798500496e-05,,
32,99.64,1.3006494576291761e-05,,
33,99.94,2.890332128064836e-06,,
34,99.92,4.335498192097253e-06,,
35,97.61,3.468398553677803e-05,,
36,97.64,3.323881947274562e-05,,
37,99.3,1.445166064032418e-05,,
38,99.0,2.6012989152583522e-05,,
39,99.65,2.0232324896453855e-05,,
40,99.54,2.1677490960486268e-05,,
41,99.8,1.8787158832421433e-05,,
42,99.73,1.8787158832421433e-05,,
43,99.84,1.0116162448226928e-05,,
44,100.0,0.0,,
45,99.74,1.1561328512259344e-05,,
46,99.81,8.670996384194507e-06,,
47,95.02,6.358730681742639e-05,,
48,93.27,8.81551299059775e-05,,
49,99.95,1.445166064032418e-06,,
50,99.73,1.8787158832421433e-05,,
51,99.44,2.1677490960486268e-05,,
52,97.14,5.2025978305167044e-05,,
53,99.3,2.3122657024518687e-05,,
54,99.73,1.3006494576291761e-05,,
55,99.28,2.1677490960486268e-05,,
56,99.93,1.445166064032418e-06,,
57,96.78,5.347114436919947e-05,,
58,99.1,2.890332128064836e-05,,
59,99.75,1.1561328512259344e-05,,
60,99.33,1.8787158832421433e-05,,
61,97.2,4.190981585694012e-05,,
62,99.85,1.0116162448226928e-05,,
63,99.92,7.22583032016209e-06,,
64,99.94,5.780664256129672e-06,,
65,99.84,1.1561328512259344e-05,,
66,99.92,8.670996384194507e-06,,
67,99.79,5.780664256129672e-06,,
68,99.9,1.0116162448226928e-05,,
69,99.9,1.0116162448226928e-05,,
70,99.89,8.670996384194507e-06,,
71,99.99,0.0,,
72,99.83,1.5896826704356598e-05,,
73,99.86,1.5896826704356598e-05,,
74,99.94,7.22583032016209e-06,,
75,99.93,8.670996384194507e-06,,
76,99.91,7.22583032016209e-06,,
77,99.91,1.0116162448226928e-05,,
78,99.91,8.670996384194507e-06,,
79,99.93,7.22583032016209e-06,,
80,99.9,8.670996384194507e-06,,
81,99.89,1.0116162448226928e-05,,
82,99.92,8.670996384194507e-06,,
83,100.0,0.0,,
84,99.99,1.445166064032418e-06,,
85,99.99,0.0,,
86,99.98,1.445166064032418e-06,,
87,99.86,1.1561328512259344e-05,,
88,99.91,5.780664256129672e-06,,
89,99.87,8.670996384194507e-06,,
90,99.97,1.445166064032418e-06,,
91,99.57,7.22583032016209e-06,,
92,99.81,7.22583032016209e-06,,
93,99.81,7.22583032016209e-06,,
94,99.86,5.780664256129672e-06,,
95,99.84,7.22583032016209e-06,,
96,99.92,2.890332128064836e-06,,
97,99.97,0.0,,
98,100.0,0.0,,
99,99.89,7.22583032016209e-06,,
100,99.61,1.1561328512259344e-05,,
101,99.91,5.780664256129672e-06,,
102,99.99,0.0,,
103,99.82,4.335498192097253e-06,,
104,99.96,4.335498192097253e-06,,
105,99.94,5.780664256129672e-06,,
106,99.85,1.0116162448226928e-05,,
107,99.9,7.22583032016209e-06,,
108,99.89,8.670996384194507e-06,,
109,99.96,2.890332128064836e-06,,
110,99.98,1.445166064032418e-06,,
111,99.97,1.445166064032418e-06,,
112,99.96,4.335498192097253e-06,,
113,99.95,4.335498192097253e-06,,
114,99.98,1.445166064032418e-06,,
115,99.99,0.0,,
116,99.99,0.0,,
117,99.89,2.890332128064836e-06,,
118,99.94,2.890332128064836e-06,,
119,99.95,2.890332128064836e-06,,
120,99.96,2.890332128064836e-06,,
121,99.74,5.780664256129672e-06,,
